Frequency (Hz)	Level (dB)
551.115417	-77.869064
551.788330	-77.970932
552.461243	-77.263618
553.134155	-79.435860
553.807068	-78.756821
554.479980	-77.456116
555.152893	-77.842331
555.825806	-77.331223
556.498718	-76.201103
557.171631	-77.234764
557.844543	-77.365112
558.517456	-78.253601
559.190369	-77.596298
559.863281	-77.564789
560.536194	-77.775703
561.209106	-77.520241
561.882019	-78.707047
562.554932	-78.805832
563.227844	-78.371666
563.900757	-77.735741
564.573669	-77.211922
565.246582	-77.494942
565.919495	-76.910149
566.592407	-77.154030
567.265320	-78.387657
567.938232	-77.128731
568.611145	-76.213211
569.284058	-76.773819
569.956970	-77.793320
570.629883	-80.079857
571.302795	-78.810760
571.975708	-78.751839
572.648621	-78.384018
573.321533	-77.148521
573.994446	-76.875587
574.667358	-78.122940
575.340271	-79.352493
576.013184	-78.272415
576.686096	-77.686119
577.359009	-77.445091
578.031921	-76.623886
578.704834	-77.592949
579.377747	-78.571312
580.050659	-79.015800
580.723572	-77.668427
581.396484	-77.882614
582.069397	-78.975304
582.742310	-79.206490
583.415222	-79.630768
584.088135	-78.888466
584.761047	-78.882454
585.433960	-78.369133
586.106873	-78.383171
586.779785	-78.631920
587.452698	-78.982346
588.125610	-78.355820
588.798523	-78.454865
589.471436	-78.493347
590.144348	-78.823425
590.817261	-78.960754
591.490173	-79.710823
592.163086	-79.542320
592.835999	-78.869133
593.508911	-78.911964
594.181824	-78.857224
594.854736	-78.024239
595.527649	-78.575020
596.200562	-78.461571
596.873474	-78.584450
597.546387	-78.704636
598.219299	-78.841751
598.892212	-78.027946
599.565125	-78.224724
600.238037	-78.114937
600.910950	-77.777672
601.583862	-79.026466
602.256775	-78.004097
602.929688	-78.263191
603.602600	-79.080772
604.275513	-77.765900
604.948425	-77.849335
605.621338	-77.621773
606.294250	-77.819901
606.967163	-78.926933
607.640076	-78.865944
608.312988	-79.176201
608.985901	-79.025597
609.658813	-79.798828
610.331726	-80.213654
611.004639	-80.575012
611.677551	-81.006401
612.350464	-82.027534
613.023376	-80.585800
613.696289	-80.935699
614.369202	-80.920944
615.042114	-80.881905
615.715027	-80.213249
616.387939	-79.367760
617.060852	-80.003151
617.733765	-79.493561
618.406677	-79.074013
619.079590	-79.511360
619.752502	-80.295517
620.425415	-78.504059
621.098328	-78.794998
621.771240	-78.476685
622.444153	-79.420364
623.117065	-80.280334
623.789978	-80.900436
624.462891	-81.427475
625.135803	-80.721848
625.808716	-81.090714
626.481628	-81.000038
627.154541	-80.822304
627.827454	-80.456207
628.500366	-79.238441
629.173279	-79.794922
629.846191	-80.385345
630.519104	-80.619949
631.192017	-80.207123
631.864929	-79.698387
632.537842	-79.655968
633.210754	-80.028465
633.883667	-79.483124
634.556580	-80.547104
635.229492	-81.407448
635.902405	-80.698936
636.575317	-80.071335
637.248230	-80.073509
637.921143	-81.152695
638.594055	-81.393211
639.266968	-81.621819
639.939880	-80.561134
640.612793	-80.091751
641.285706	-80.535355
641.958618	-81.019646
642.631531	-81.346886
643.304443	-82.232712
643.977356	-81.442177
644.650269	-82.021744
645.323181	-80.607323
645.996094	-79.587799
646.669006	-80.426186
647.341919	-81.142181
648.014832	-82.188278
648.687744	-82.647583
649.360657	-81.171532
650.033569	-82.421165
650.706482	-82.621849
651.379395	-82.366661
652.052307	-82.004372
652.725220	-81.542839
653.398132	-81.664467
654.071045	-81.095253
654.743958	-82.070740
655.416870	-82.600838
656.089783	-82.683037
656.762695	-82.995659
657.435608	-83.123940
658.108521	-83.003342
658.781433	-82.005356
659.454346	-84.100723
660.127258	-83.452507
660.800171	-82.191216
661.473083	-82.736290
662.145996	-84.096001
662.818909	-83.723671
663.491821	-82.888466
664.164734	-83.420799
664.837646	-83.183517
665.510559	-83.051033
666.183472	-83.743599
666.856384	-83.683556
667.529297	-83.642197
668.202209	-82.400917
668.875122	-82.997169
669.548035	-83.772987
670.220947	-84.688187
670.893860	-84.302155
671.566772	-83.144241
672.239685	-82.753006
672.912598	-84.039841
673.585510	-84.483780
674.258423	-84.749031
674.931335	-84.224190
675.604248	-84.297661
676.277161	-83.836319
676.950073	-83.381226
677.622986	-84.313889
678.295898	-83.899994
678.968811	-83.910606
679.641724	-84.181381
680.314636	-84.936691
680.987549	-85.540306
681.660461	-84.903275
682.333374	-84.163445
683.006287	-84.055450
683.679199	-84.893707
684.352112	-85.115425
685.025024	-84.197449
685.697937	-84.482315
686.370850	-85.098495
687.043762	-84.953285
687.716675	-84.811203
688.389587	-84.906700
689.062500	-84.870041
689.735413	-85.084709
690.408325	-84.758171
691.081238	-84.451714
691.754150	-84.479507
692.427063	-84.721924
693.099976	-84.897690
693.772888	-85.178627
694.445801	-86.006714
695.118713	-85.795288
695.791626	-84.923668
696.464539	-85.290398
697.137451	-85.486618
697.810364	-85.062027
698.483276	-84.472664
699.156189	-85.094040
699.829102	-84.651772
700.502014	-84.825333
701.174927	-85.052094
701.847839	-84.993271
702.520752	-84.747696
703.193665	-84.807320
703.866577	-85.136986
704.539490	-85.195679
705.212402	-85.683029
705.885315	-85.507172
706.558228	-85.560707
707.231140	-85.817207
707.904053	-85.400307
708.576965	-85.507759
709.249878	-85.482224
709.922791	-86.031303
710.595703	-86.521393
711.268616	-86.315269
711.941528	-85.382263
712.614441	-84.645081
713.287354	-85.621368
713.960266	-86.445976
714.633179	-87.116035
715.306091	-85.896423
715.979004	-84.818336
716.651917	-85.001114
717.324829	-84.550652
717.997742	-84.622360
718.670654	-85.124710
719.343567	-85.392097
720.016479	-84.889000
720.689392	-85.580788
721.362305	-86.436295
722.035217	-86.556999
722.708130	-85.668716
723.381042	-85.114159
724.053955	-85.088951
724.726868	-86.161667
725.399780	-86.728889
726.072693	-85.797104
726.745605	-85.700447
727.418518	-85.697922
728.091431	-86.180283
728.764343	-85.920235
729.437256	-86.382431
730.110168	-87.150795
730.783081	-86.536339
731.455994	-86.041138
732.128906	-86.907936
732.801819	-86.512604
733.474731	-86.416740
734.147644	-85.985947
734.820557	-85.525818
735.493469	-86.251976
736.166382	-86.473373
736.839294	-87.004311
737.512207	-86.704758
738.185120	-86.311562
738.858032	-86.896255
739.530945	-86.730652
740.203857	-86.450256
740.876770	-86.216797
741.549683	-85.867317
742.222595	-86.720406
742.895508	-87.010124
743.568420	-86.516960
744.241333	-86.584183
744.914246	-86.553650
745.587158	-85.369064
746.260071	-83.501755
746.932983	-81.409431
747.605896	-81.811920
748.278809	-82.483627
748.951721	-82.219635
749.624634	-81.732727
750.297546	-82.896935
750.970459	-85.046165
751.643372	-85.747490
752.316284	-86.713699
752.989197	-86.350784
753.662109	-85.480545
754.335022	-85.937790
755.007935	-85.921272
755.680847	-86.225998
756.353760	-86.397842
757.026672	-86.175842
757.699585	-85.791321
758.372498	-86.301903
759.045410	-86.638542
759.718323	-85.752457
760.391235	-86.670410
761.064148	-86.555733
761.737061	-85.778656
762.409973	-86.241241
763.082886	-85.648552
763.755798	-86.079155
764.428711	-86.586235
765.101624	-87.042961
765.774536	-86.254219
766.447449	-85.063393
767.120361	-84.911583
767.793274	-85.162720
768.466187	-85.931473
769.139099	-85.525162
769.812012	-85.831512
770.484924	-85.822617
771.157837	-85.233932
771.830750	-84.966476
772.503662	-85.843819
773.176575	-86.334938
773.849487	-85.592216
774.522400	-85.409462
775.195313	-86.464020
775.868225	-86.734573
776.541138	-86.903564
777.214050	-87.274590
777.886963	-87.017998
778.559875	-86.918282
779.232788	-86.220749
779.905701	-85.751129
780.578613	-86.865456
781.251526	-86.355125
781.924438	-86.734619
782.597351	-87.534470
783.270264	-85.668839
783.943176	-86.213432
784.616089	-87.657967
785.289001	-87.739899
785.961914	-87.264526
786.634827	-87.693840
787.307739	-88.425819
787.980652	-88.099106
788.653564	-87.371490
789.326477	-87.562904
789.999390	-87.059273
790.672302	-87.466148
791.345215	-86.466835
792.018127	-86.062180
792.691040	-86.814873
793.363953	-86.503654
794.036865	-87.369003
794.709778	-87.718697
795.382690	-87.340561
796.055603	-86.375420
796.728516	-85.893272
797.401428	-86.315598
798.074341	-86.424347
798.747253	-87.399902
799.420166	-88.827454
800.093079	-88.807930
800.765991	-86.903923
801.438904	-86.346588
802.111816	-87.787186
802.784729	-87.916321
803.457642	-87.870262
804.130554	-87.513184
804.803467	-87.919868
805.476379	-88.432312
806.149292	-87.437378
806.822205	-87.428871
807.495117	-88.819611
808.168030	-88.653511
808.840942	-87.851654
809.513855	-88.560951
810.186768	-88.555672
810.859680	-88.409416
811.532593	-88.159637
812.205505	-87.551399
812.878418	-87.704208
813.551331	-87.878426
814.224243	-87.796982
814.897156	-88.026772
815.570068	-87.796867
816.242981	-87.955795
816.915894	-87.256348
817.588806	-87.223877
818.261719	-87.896317
818.934631	-88.042076
819.607544	-87.473991
820.280457	-87.460564
820.953369	-86.495613
821.626282	-87.695129
822.299194	-88.260399
822.972107	-87.756470
823.645020	-86.724068
824.317932	-86.669891
824.990845	-87.635971
825.663757	-87.582336
826.336670	-86.857292
827.009583	-86.825760
827.682495	-87.245934
828.355408	-86.933678
829.028320	-86.831100
829.701233	-87.660461
830.374146	-87.262825
831.047058	-87.166023
831.719971	-87.966194
832.392883	-87.023209
833.065796	-86.535362
833.738708	-87.177856
834.411621	-87.388504
835.084534	-88.018761
835.757446	-88.190384
836.430359	-88.284897
837.103271	-86.868446
837.776184	-86.220406
838.449097	-87.151993
839.122009	-87.644478
839.794922	-87.356270
840.467834	-87.062927
841.140747	-87.336678
841.813660	-87.462402
842.486572	-87.774780
843.159485	-87.713860
843.832397	-88.407951
844.505310	-88.739372
845.178223	-88.462418
845.851135	-88.171379
846.524048	-88.551353
847.196960	-88.509270
847.869873	-86.858147
848.542786	-87.674408
849.215698	-88.325027
849.888611	-88.199303
850.561523	-88.779625
851.234436	-89.465096
851.907349	-88.902534
